time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.22255491361e-08,1.90444031827e-07,9.99773152035,0.000248330175054,6.28291379683,0.0,1.08490362506e-05,1.65993515672e-05,-0.0756176450801,0.0113438886891,-0.0156041014527,0.0,377.85903245130527,376.3519687126277,376.53141711436655,377.6270888488629
0.12000000000000001,1.07082211835e-05,9.66654389571e-06,9.99842617211,0.000783360403379,6.28215420296,0.0,0.000439219476417,0.000368548596146,0.0987743953387,0.003559818324,-0.00734197674983,0.0,459.8651772399371,460.5189464338659,459.9054540166427,459.28865728646286
0.18,6.08324286125e-05,4.94090294815e-05,10.0082272736,0.00082963400443,6.28189931035,0.0,0.00126787508793,0.000970727491233,0.227911221084,-0.00548873292527,0.00131508727055,0.0,445.6850323734899,446.3919813691435,446.46785528041977,445.7291056710767
0.23999999999999996,0.000161408392817,0.000122605287865,10.0234532603,0.000704193307625,6.28180658909,0.0,0.00208461265337,0.00144827519919,0.279609992093,0.00396161091618,-0.00798788553902,0.0,422.259910501591,421.4567836587394,420.45461718550837,421.2724686699184
0.3,0.000314182513491,0.000223699214026,10.0415005697,0.000988150702707,6.28142613592,0.0,0.00304784504574,0.00194593359362,0.321955544325,0.0062317707906,-0.00323503423224,0.0,419.080366252316,419.4933147135546,417.212457167901,417.4105006179778
0.36000000000000004,0.00053800724815,0.000365237494295,10.0661644608,0.00172692050076,6.28072020114,0.0,0.00445102336399,0.00283758173657,0.500112391877,0.0223183672732,-0.0402321245038,0.0,462.82268056642596,459.9020626580248,460.33376059885705,461.6046409544878
0.4200000000000001,0.000873927983998,0.00058207558879,10.1021505131,0.00279788338448,6.2779426695,0.0,0.00704410109857,0.00453307726825,0.699320358438,0.00694163272431,-0.0625629930205,0.0,468.25689031666036,466.5154562930247,468.433372455812,467.23620967839986
0.48000000000000015,0.0014227385325,0.000915033795535,10.147691496,0.00303816930024,6.27411761175,0.0,0.0116463745875,0.00660053387834,0.818631358305,-0.00263334724869,-0.0662382991938,0.0,443.0450152225613,442.7397857795712,444.519955111199,443.73467213706283
0.5400000000000001,0.00234668156988,0.00138023797278,10.2021104468,0.00297347039156,6.26983588708,0.0,0.0196151366501,0.0088934102375,0.995191494509,0.00186348934725,-0.0843308374978,0.0,461.4706183931226,460.0365678901606,461.5989596830453,461.95366477050806
0.6000000000000002,0.00380529365605,0.0019729189941,10.2638824574,0.00313260737119,6.26480049191,0.0,0.0294957796982,0.0108756446314,1.0638062534,0.00418505894658,-0.0831208162096,0.0,427.8234363146099,427.9203795714538,427.76181306323986,427.9593878635487
0.6600000000000003,0.00600113129267,0.00269558653042,10.3321432418,0.00314211498026,6.26020560832,0.0,0.0442157350704,0.0132286722806,1.21139746072,-0.00944313257202,-0.0659627105138,0.0,452.40766282228947,453.7822791247825,453.32687839041915,452.2306023384613
0.7200000000000003,0.00906700638714,0.00354211756939,10.404577631,0.00227066268828,6.25612054999,0.0,0.0583256252504,0.0149295055846,1.20308235648,-0.0273612200164,-0.0727038399991,0.0,402.94995752963194,402.33611482237916,403.44959254557585,401.828749751899
0.7800000000000004,0.0131894074806,0.00448303446874,10.4814805026,0.00139247122842,6.25241075355,0.0,0.0795219494337,0.0163033768123,1.36015984598,0.00308625313429,-0.0460228707075,0.0,456.082904464467,458.20579814084385,454.00134445326864,456.4375079255829
0.8400000000000004,0.0186462477794,0.00549354340978,10.5673703016,0.00228411901941,6.25034028472,0.0,0.102621445019,0.0174456239219,1.50264767347,0.0316232082919,-0.0180177715888,0.0,451.65466011641195,453.90683193382085,450.30379492294384,452.6060889942095
0.9000000000000005,0.0256077339684,0.00660490791248,10.6642071005,0.00455821197,6.24939641188,0.0,0.129538591172,0.0198522371448,1.72493095485,0.0481731465682,-0.0115110965245,0.0,476.2505001396675,476.74797834142066,475.70805809672953,476.97411364149644
0.9600000000000005,0.0341614058475,0.00791353780138,10.7730773992,0.00697549013894,6.24856364708,0.0,0.155659679805,0.0240788869915,1.90379214555,0.0157766381126,-0.0190952221232,0.0,465.03393482128894,464.43964167708015,465.0073500777132,462.4634479677734
1.0200000000000005,0.0442791347185,0.00951816064247,10.891983643,0.00808725582094,6.2472437077,0.0,0.181722934562,0.0295205587602,2.05947433566,0.0235332716045,-0.0285509635305,0.0,458.8756420494491,458.1244397977769,456.88483456615086,457.5027378586098
1.0800000000000005,0.0559845107102,0.0114740696376,11.0200148236,0.00950217878118,6.2454565494,0.0,0.208636308365,0.0358283073544,2.20794599135,0.0236794156383,-0.0323775764206,0.0,457.8751396921714,457.5703731317382,454.74076754131465,454.7525182444493
1.1400000000000006,0.0692864146709,0.0138247445234,11.1554198226,0.0108508719219,6.24364125294,0.0,0.234942741151,0.042666344551,2.30535099361,0.0199608628202,-0.0263165279556,0.0,440.1281626444328,440.62918126472454,441.75618584789026,441.4494956166055
1.2000000000000006,0.0841980682042,0.0166117389495,11.2965518949,0.0123895732443,6.24177607058,0.0,0.262275100351,0.0503713506383,2.39884811547,0.0351016575769,-0.0429216984448,0.0,439.74166209179157,438.3636258124895,440.7060606104617,441.955841352498
1.2600000000000007,0.100761915053,0.0198869387405,11.4425885124,0.0139697290447,6.23901530276,0.0,0.290104962017,0.058991970318,2.46887294664,-0.00381116425486,-0.0530472047111,0.0,433.812949809351,432.9605717713958,434.5455945574418,431.271543716035
